0.001444043,-0.001472754
0.018772563,0.011782032
0.03898917,0.008836524
0.066425993,0.027982327
0.089530686,0.026509573
0.106859206,0.005891016
0.134296029,-0.011782032
0.148736462,-0.026509573
0.176173285,-0.032400589
0.196389892,-0.030927835
0.209386282,-0.025036819
0.232490975,-0.013254786
0.245487365,-0.011782032
0.265703971,-5.55E-17
0.283032491,0
0.303249097,0.004418262
0.333574007,0.005891016
0.355234657,-5.55E-17
0.372563177,0.001472754
0.392779783,-0.008836524
0.407220217,-0.008836524
0.431768953,-0.019145803
0.460649819,-0.032400589
0.488086643,-0.051546392
0.503971119,-0.050073638
0.535740072,-0.072164948
0.568953069,-0.088365243
0.600722022,-0.120765832
0.616606498,-0.135493373
0.652707581,-0.17083947
0.684476534,-0.201767305
0.716245487,-0.241531664
0.746570397,-0.281296024
0.76101083,-0.29455081
0.784115523,-0.321060383
0.810108303,-0.35640648
0.8433213,-0.399116348
0.879422383,-0.440353461
0.912635379,-0.487481591
0.944404332,-0.537555228
0.973285199,-0.569955817
0.997111913,-0.602356406
